total_calls,mean_tow_miles,credit_ranges_below_700,credit_ranges_between_700___799,education_some_college,generation_millenials__1981___1993_,income_100k_,income_under_39999,aaa_financial_service_0,no_members_3___member,kcl_b_ind_mosaicsgrouping_middle_class_melting_pot,kcl_b_ind_mosaicsgrouping_power_elite,occupation_group_professional,mosaic_global_household_hard_working_blue_collar,mosaic_global_household_low_income_elders,aaa_motorcycle_indicator_0_0,aaa_deposit,membership_id,yes_deposit
0.0,4.5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1180,0.0
46.0,2.6538459999999997,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1216,0.0
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1243,0.22716627634660444
1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1245,0.0
14.0,6.571428999999999,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1247,0.0
0.0,0.0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1249,0.0
3.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1269,0.0
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1282,0.22716627634660444
4.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1307,0.0
1.0,0.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1329,0.0
2.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1354,0.0
1.0,0.333333,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1363,0.0
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1382,0.22716627634660444
12.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1397,0.0
12.0,6.0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1405,0.0
2.0,0.0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1497,0.0
2.0,0.3,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1527,0.0
1.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1535,0.0
1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1549,0.0
4.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1589,0.0
0.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1628,0.0
18.0,0.545455,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1634,0.0
28.0,2.142857,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1644,0.0
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1696,0.22716627634660444
0.0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1708,0.0
7.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1763,0.0
2.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1777,0.0
0.0,0.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1807,0.0
0.0,0.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1847,0.8648648648648652
1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1878,0.0
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1906,0.22716627634660444
0.0,0.0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1923,0.0
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1933,0.22716627634660444
12.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1967,0.0
3.0,10.333333,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1968,0.0
2.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2007,0.0
3.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2020,0.0
0.0,3.333333,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,2021,0.0
14.0,0.08,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,2029,0.0
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2030,0.22716627634660444
13.0,4.057143,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2061,0.0
0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2091,0.0
1.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2114,0.0
5.0,3.428571,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,2131,0.0
2.0,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2134,0.0
4.0,0.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2146,0.0
12.0,0.818182,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,2155,0.0
0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2171,0.0
6.0,2.871429,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,2193,0.0
1.0,0.0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,2222,0.0
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2225,0.22716627634660444
0.0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2255,0.0
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2259,0.0
1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2269,0.0
0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2270,0.8558558558558552
4.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2272,0.0
1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2286,0.0
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2301,0.22716627634660444
1.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2313,0.0
6.0,4.766667,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2330,0.0
8.0,5.014286,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2351,0.0
1.0,8.25,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,2366,0.0
4.0,0.0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,2395,0.0
0.0,0.0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,2413,0.0
2.0,3.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2423,0.0
6.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2452,0.0
0.0,0.0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,2455,0.0
6.0,2.6,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2459,0.0
14.0,4.455556,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,2464,0.0
14.0,0.0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,2485,0.0
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2519,0.0
1.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2550,0.0
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2553,0.22716627634660444
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2573,0.8464912280701768
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2590,0.22716627634660444
7.0,1.5,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2599,0.0
15.0,0.0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,2607,0.0
2.0,0.0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,2666,0.0
0.0,7.5,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,2667,0.0
0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2685,0.0
0.0,0.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2695,0.0
2.0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2696,0.0
4.0,11.0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,2733,0.0
4.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2739,0.0
18.0,0.375,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2762,0.0
13.0,1.555556,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2763,0.0
0.0,0.0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,2766,0.33300000000000013
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2783,0.0
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2789,0.22716627634660444
1.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2804,0.0
8.0,0.925,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2808,0.0
27.0,13.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2829,0.0
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2831,0.8464912280701768
3.0,0.833333,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2836,0.0
1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2850,0.0
0.0,2.333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2853,0.0
0.0,1.233333,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2872,0.0
1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2907,0.0
31.0,0.8,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2929,0.0
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2932,0.22716627634660444
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2939,0.22716627634660444
0.0,0.0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,2946,0.0
2.0,7.0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2991,0.0
46.0,0.590909,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,3013,0.0
3.0,4.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3025,0.0
0.0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,3041,0.0
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3050,0.0
0.0,0.0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,3058,0.0
4.0,0.0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,3062,0.0
27.0,0.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3066,0.0
12.0,7.266667,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3067,0.0
0.0,11.0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,3072,0.0
0.0,0.0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,3085,0.9249999999999983
1.0,0.0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,3094,0.0
5.0,0.0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,3095,0.0
0.0,0.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3111,0.9898989898989897
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3124,0.22716627634660444
149.0,4.33125,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3128,0.0
0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3138,0.22716627634660444
3.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3141,0.0
2.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3161,0.0
6.0,1.285714,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,3177,0.0
103.0,4.326316,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,3182,0.0
4.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,3192,0.01
0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,3237,0.0
2.0,4.714286,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3244,0.0
0.0,0.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3289,0.0
1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3294,0.0
1.0,0.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,3297,0.02
0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3357,0.0
