consumer_score,mean_total_cost_veh,mean_total_member_cost_veh,mean_tow_miles,aaa_mean_child,aaa_financial_service_0,plus_indicator_description_basic_membership,plus_indicator_description_plus_membership,plus_indicator_description_premier_membership,occupation_group_management,occupation_group_other,occupation_group_professional,occupation_group_retired,sc_vehicle_manufacturer_name_luxury_vehicle,sc_vehicle_manufacturer_name_middle_end_vehicle,tenure_between_21___40_years,tenure_under_20_years,no_members__5___member,no_members_4___member,gender_female,kcl_b_ind_mosaicsgrouping_golden_year,kcl_b_ind_mosaicsgrouping_singles_and_starters,education_high_school,aaa_travel,membership_id,yes_travel
0.0136986301369863,47.04483,132.370546,0.088889,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,153,0.13
0.012345679012345678,46.948254,117.08376299999999,0.0,1.0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,163,0.11
0.014285714285714285,47.662222,208.38222199999998,0.0,1.0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,182,0.13
0.015625,48.760816,175.441122,1.166667,2.0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,188,1.0
0.013157894736842105,46.561231,152.51689199999998,1.75,4.5,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,191,0.2
0.01488015784150378,0.007201000000000001,8.441607000000001,0.0,2.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,205,0.21
0.01639344262295082,44.543938,150.919066,0.0,0.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,208,0.09
0.01488015784150378,0.007201000000000001,8.441607000000001,0.3,1.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,282,0.165
0.014925373134328358,47.571626,145.274146,0.0,1.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,335,0.24
0.017241379310344827,45.666598,162.892046,0.0,2.0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,342,0.35
0.015625,48.760816,175.441122,9.44,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,366,1.0
0.01488015784150378,0.007201000000000001,8.441607000000001,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,374,0.1
0.01488015784150378,0.007201000000000001,8.441607000000001,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,389,0.168
0.0136986301369863,45.218975,125.689416,0.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,412,0.04
0.015625,44.792701,136.00893,0.0,1.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,416,1.0
0.0136986301369863,47.04483,132.370546,0.0,1.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,427,0.27
0.01488015784150378,49.840036,191.50224599999999,0.7625,1.0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,439,0.27
0.017857142857142856,47.351844,164.69268200000002,0.8,1.0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,484,1.0
0.013157894736842105,44.882397999999995,143.574269,1.066667,2.0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,487,1.0
0.0136986301369863,45.218975,125.689416,8.0,1.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,491,0.21
0.01488015784150378,45.310681,156.358351,0.0,1.0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,507,0.2
0.01488015784150378,0.007201000000000001,8.441607000000001,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,509,0.10800000000000001
0.01488015784150378,0.007201000000000001,8.441607000000001,7.0875,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,535,0.15
0.014285714285714285,49.209019,135.775668,0.0,2.0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,584,0.36
0.01488015784150378,0.007201000000000001,8.441607000000001,0.683333,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,593,0.34
0.01488015784150378,0.007201000000000001,8.441607000000001,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,636,0.06
0.01488015784150378,0.007201000000000001,8.441607000000001,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660,0.12
0.01488015784150378,0.007201000000000001,8.441607000000001,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,666,0.19
0.01488015784150378,0.007201000000000001,8.441607000000001,0.0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,722,1.0
0.0136986301369863,47.04483,132.370546,12.08,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725,0.24
0.01639344262295082,44.543938,150.919066,7.216667,3.0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,727,1.0
0.01488015784150378,0.007201000000000001,8.441607000000001,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,775,0.4508333333333333
0.01488015784150378,45.717802,181.860824,0.28571399999999997,1.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,778,0.14
