total_calls,aaa_mean_child,mean_basic_cost,length_of_residence,total_members_in_household,mean_tow_miles,mean_total_member_cost_veh,consumer_score,total_cost,credit_ranges_below_700,education_completed_college,education_high_school,education_some_college,generation_baby_boomers__1948___1968_,generation_generation_x__1969___1980_,generation_millenials__1981___1993_,generation_post_war____1948_,income_100k_,income_under_39999,aaa_id_theft_0,kcl_b_ind_mosaicsgrouping_golden_year,kcl_b_ind_mosaicsgrouping_middle_class_melting_pot,kcl_b_ind_mosaicsgrouping_power_elite,kcl_b_ind_mosaicsgrouping_singles_and_starters,aaa_auto_insurance_0,aaa_travel_0,occupation_group_management,occupation_group_other,occupation_group_professional,occupation_group_retired,mosaic_global_household_bourgeois_prosperity,mosaic_global_household_career_and_family,mosaic_global_household_comfortable_retirement,mosaic_global_household_low_income_elders,mosaic_global_household_routine_service_workers,aaa_credit_card_0,aaa_mortgage,membership_id,yes_mortgage
15.0,1.0,55.34,6.0,1,0.8,164.69268200000002,0.017857142857142856,276.7,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,484,0.35
13.0,2.0,30.638889000000002,2.3333,5,1.066667,143.574269,0.013157894736842105,275.75,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,487,0.38
0.0,1.0,58.85,12.0,1,8.0,125.689416,0.0136986301369863,58.85,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,491,0.23
0.0,1.0,22.5,1.5,2,0.0,156.358351,0.01488015784150378,90.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,507,0.19
0.0,0.0,0.0,0.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,509,0.1
9.0,3.0,13.9095,0.1733,6,0.579333,0.0,0.01488015784150378,14113.85,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,513,0.31
12.0,2.0,31.35625,11.375,5,7.0875,8.441607000000001,0.01488015784150378,250.85,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,535,0.31
0.0,0.0,0.0,0.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,538,0.15
0.0,3.0,0.0,7.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,559,0.19
0.0,2.0,6.75,3.75,4,0.0,135.775668,0.014285714285714285,27.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,584,0.26
21.0,4.0,24.6,10.0,4,0.683333,8.441607000000001,0.01488015784150378,147.6,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,593,1.0
0.0,2.0,26.5,15.0,2,0.0,8.441607000000001,0.01488015784150378,106.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,596,0.27
1.0,1.0,0.0,15.0,1,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,636,0.17
0.0,1.0,0.0,7.5,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,660,0.24
2.0,0.0,27.23125,0.0,6,0.0,8.441607000000001,0.01488015784150378,217.85,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,666,0.2
0.0,1.0,17.666667,3.3333,5,0.0,8.441607000000001,0.01488015784150378,106.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,722,0.3
20.0,1.0,47.57,8.0,1,12.08,132.370546,0.0136986301369863,240.16,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,725,0.33
4.0,0.0,53.0,0.0,1,0.0,162.93004399999998,0.015384615384615385,106.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,726,0.25
6.0,3.0,25.0,13.0,3,7.216667,150.919066,0.01639344262295082,150.0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,727,0.25
0.0,0.0,0.0,0.0,2,0.0,8.441607000000001,0.01488015784150378,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,775,0.14
28.0,1.0,53.835714,5.0,1,0.28571399999999997,181.860824,0.01488015784150378,376.85,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,778,0.27
26.0,1.0,22.714285999999998,0.1429,5,0.0,8.441607000000001,0.01488015784150378,159.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,783,0.33
