FCST Error Test,FCST Error Train,FCST Total Cost Test,FCST Total Cost Train,total_cost,estimated_cost,membership_id
0.0,0.0,0.0,112.949394,53.00000000000003,112.949394,56422
0.0,0.0,0.0,-0.047070622,0.0,-0.047070622,336200
0.0,0.0,0.0,503.57004,441.55,503.57004,17335
0.0,0.0,0.0,83.935555,106.0,83.935555,30225
0.0,0.0,0.0,102.26708,106.0,102.26708,58009
0.0,0.0,0.0,0.013377428,0.0,0.013377428,82586
0.0,0.0,0.0,293.9787,357.85000000000014,293.9787,29506
0.0,0.0,0.0,1098.7842,1146.7000000000003,1098.7842,13692
0.0,0.0,0.0,231.84698,163.99999999999997,231.84698,441987
0.0,0.0,0.0,881.7337,1149.55,881.7337,125571
0.0,0.0,0.0,-0.00388968,0.0,-0.00388968,196613
0.0,0.0,0.0,428.97443,276.70000000000005,428.97443,152782
0.0,0.0,0.0,229.7522,183.62999999999997,229.7522,81573
0.0,0.0,0.0,307.83414,384.0,307.83414,21324
0.0,0.0,0.0,76.8438,58.849999999999994,76.8438,20282
0.0,0.0,0.0,-0.047070622,0.0,-0.047070622,254981
0.0,0.0,0.0,129.2761,269.99999999999994,129.2761,192744
0.0,0.0,0.0,104.71639,159.0,104.71639,20446
0.0,0.0,0.0,293.5765,329.7,293.5765,91475
0.0,0.0,0.0,58.232433,58.849999999999994,58.232433,25274
0.0,0.0,0.0,280.99133,276.70000000000005,280.99133,90608
0.0,0.0,0.0,108.55171,53.00000000000003,108.55171,18742
0.0,0.0,0.0,234.6165,222.00000000000009,234.6165,21393
0.0,0.0,0.0,0.013377428,0.0,0.013377428,196735
0.0,0.0,0.0,0.013377428,0.0,0.013377428,197311
0.0,0.0,0.0,0.013377428,0.0,0.013377428,3289
0.0,0.0,0.0,-0.00388968,0.0,-0.00388968,53379
0.0,0.0,0.0,71.03254,98.0,71.03254,443028
0.0,0.0,0.0,1382.0724,1892.3300000000002,1382.0724,88269
0.0,0.0,0.0,321.59103,343.4999999999999,321.59103,16467
0.0,0.0,0.0,107.935196,159.0,107.935196,10232
0.0,0.0,0.0,163.46239,211.99999999999997,163.46239,50780
0.0,0.0,0.0,-0.047070622,0.0,-0.047070622,255191
0.0,0.0,0.0,0.013377428,0.0,0.013377428,50195
0.0,0.0,0.0,0.013377428,0.0,0.013377428,60127
0.0,0.0,0.0,0.013377428,0.0,0.013377428,12675
0.0,0.0,0.0,1020.99915,1009.2499999999999,1020.99915,29229
0.0,0.0,0.0,0.08459067,0.0,0.08459067,8377
0.0,0.0,0.0,147.20032,145.99999999999997,147.20032,8775
0.0,0.0,0.0,0.013377428,0.0,0.013377428,193573
0.0,0.0,0.0,400.3654,353.00000000000006,400.3654,20195
0.0,0.0,0.0,207.36925,243.99999999999994,207.36925,196285
0.0,0.0,0.0,0.013377428,0.0,0.013377428,7520
0.0,0.0,0.0,0.013377428,0.0,0.013377428,81162
0.0,0.0,0.0,0.013377428,0.0,0.013377428,29855
0.0,0.0,0.0,38.247864,32.49999999999999,38.247864,192584
0.0,0.0,0.0,198.22798,252.50000000000009,198.22798,81391
0.0,0.0,0.0,0.013377428,0.0,0.013377428,17672
0.0,0.0,0.0,101.46803,227.99999999999994,101.46803,333884
0.0,0.0,0.0,40.228477,26.999999999999993,40.228477,5649
0.0,0.0,0.0,-0.047070622,0.0,-0.047070622,197095
0.0,0.0,0.0,0.02414751,0.0,0.02414751,51410
0.0,0.0,0.0,917.37634,1063.59,917.37634,54004
0.0,0.0,0.0,275.5003,264.83,275.5003,11366
0.0,0.0,0.0,0.013377428,0.0,0.013377428,56462
0.0,0.0,0.0,103.00593,53.00000000000003,103.00593,192677
0.0,0.0,0.0,95.59735,106.0,95.59735,50719
0.0,0.0,0.0,65.960396,30.50000000000001,65.960396,2423
0.0,0.0,0.0,26.182787,32.49999999999999,26.182787,57730
0.0,0.0,0.0,69.34248,66.0,69.34248,20097
0.0,0.0,0.0,0.013377428,0.0,0.013377428,26060
0.0,0.0,0.0,101.93598,111.84999999999998,101.93598,22710
0.0,0.0,0.0,76.8438,58.849999999999994,76.8438,16648
0.0,0.0,0.0,195.2473,166.99999999999997,195.2473,50739
0.0,0.0,0.0,47.425304,33.000000000000014,47.425304,6764
0.0,0.0,0.0,0.013377428,0.0,0.013377428,70746
0.0,0.0,0.0,-0.047070622,0.0,-0.047070622,52893
0.0,0.0,0.0,126.78353,111.84999999999998,126.78353,7281
0.0,0.0,0.0,0.013377428,0.0,0.013377428,60107
0.0,0.0,0.0,202.28998,164.85,202.28998,85262
0.0,0.0,0.0,91.940094,85.99999999999999,91.940094,30320
0.0,0.0,0.0,338.11172,406.28000000000014,338.11172,10516
0.0,0.0,0.0,105.25882,53.00000000000003,105.25882,11888
0.0,0.0,0.0,39.612186,30.000000000000007,39.612186,15959
0.0,0.0,0.0,969.48975,955.6999999999999,969.48975,91384
0.0,0.0,0.0,100.26276,106.0,100.26276,86030
0.0,0.0,0.0,561.83057,698.85,561.83057,25027
0.0,0.0,0.0,102.32524,111.84999999999998,102.32524,52494
0.0,0.0,0.0,183.23267,170.70000000000002,183.23267,80818
0.0,0.0,0.0,730.60406,837.4,730.60406,198681
0.0,0.0,0.0,107.15343,53.00000000000003,107.15343,441305
0.0,0.0,0.0,98.119934,150.0,98.119934,17436
0.0,0.0,0.0,0.1128546,0.0,0.1128546,473870
0.0,0.0,0.0,327.50586,426.2500000000001,327.50586,151422
0.0,0.0,0.0,100.68725,76.0,100.68725,197411
0.0,0.0,0.0,85.60429,53.00000000000003,85.60429,22084
0.0,0.0,0.0,275.4393,388.85000000000014,275.4393,8806
0.0,0.0,0.0,0.013377428,0.0,0.013377428,332850
0.0,0.0,0.0,178.15833,168.56000000000012,178.15833,529983
0.0,0.0,0.0,170.36192,211.99999999999997,170.36192,150996
0.0,0.0,0.0,369.57996,376.84999999999997,369.57996,198606
0.0,0.0,0.0,110.88204,168.00000000000003,110.88204,7069
0.0,0.0,0.0,385.4969,435.6999999999999,385.4969,54580
0.0,0.0,0.0,103.92168,113.00000000000003,103.92168,80014
0.0,0.0,0.0,95.54478,106.0,95.54478,330112
0.0,0.0,0.0,546.62805,429.85000000000014,546.62805,56947
0.0,0.0,0.0,287.83875,385.7499999999999,287.83875,487
0.0,0.0,0.0,112.23932,135.0,112.23932,16291
0.0,0.0,0.0,63.84961,58.849999999999994,63.84961,17239
0.0,0.0,0.0,179.83368,214.0,179.83368,192281
0.0,0.0,0.0,0.013377428,0.0,0.013377428,53074
0.0,0.0,0.0,0.013377428,0.0,0.013377428,50290
0.0,0.0,0.0,69.746025,85.00000000000001,69.746025,525048
0.0,0.0,0.0,1181.3927,1469.2500000000002,1181.3927,82551
